team_1,team_2,innings,over,ball,over_worm,batter,bowler,runs,wicket,score,wickets_lost,runs_to_win,target
New Zealand,India,1,0,1,0.16666666666666666,D Conway,J Bumrah,4,,4,0,,
New Zealand,India,1,0,2,0.3333333333333333,D Conway,J Bumrah,0,,4,0,,
New Zealand,India,1,0,3,0.5,D Conway,J Bumrah,0,,4,0,,
New Zealand,India,1,0,4,0.6666666666666666,D Conway,J Bumrah,0,,4,0,,
New Zealand,India,1,0,5,0.8333333333333334,D Conway,J Bumrah,1,,5,0,,
New Zealand,India,1,0,6,1.0,R Ravindra,J Bumrah,0,,5,0,,
New Zealand,India,1,1,1,1.1666666666666667,D Conway,M Siraj,0,,5,0,,
New Zealand,India,1,1,2,1.3333333333333333,D Conway,M Siraj,2,,7,0,,
New Zealand,India,1,1,3,1.5,D Conway,M Siraj,0,,7,0,,
New Zealand,India,1,1,4,1.6666666666666665,D Conway,M Siraj,0,,7,0,,
New Zealand,India,1,1,5,1.8333333333333335,D Conway,M Siraj,0,,7,0,,
New Zealand,India,1,1,6,2.0,D Conway,M Siraj,0,bowled,7,1,,
New Zealand,India,1,2,1,2.1666666666666665,R Ravindra,J Bumrah,1,,8,1,,
New Zealand,India,1,2,2,2.3333333333333335,K Williamson,J Bumrah,0,,8,1,,
New Zealand,India,1,2,3,2.5,K Williamson,J Bumrah,1,,9,1,,
New Zealand,India,1,2,4,2.6666666666666665,R Ravindra,J Bumrah,0,,9,1,,
New Zealand,India,1,2,5,2.8333333333333335,R Ravindra,J Bumrah,0,lbw,9,2,,
New Zealand,India,1,2,6,3.0,D Mitchell,J Bumrah,0,,9,2,,
New Zealand,India,1,3,1,3.1666666666666665,K Williamson,M Siraj,0,,9,2,,
New Zealand,India,1,3,2,3.3333333333333335,K Williamson,M Siraj,0,,9,2,,
New Zealand,India,1,3,3,3.5,K Williamson,M Siraj,0,,9,2,,
New Zealand,India,1,3,4,3.6666666666666665,K Williamson,M Siraj,1,,10,2,,
New Zealand,India,1,3,5,3.8333333333333335,D Mitchell,M Siraj,0,,10,2,,
New Zealand,India,1,3,6,4.0,D Mitchell,M Siraj,4,,14,2,,
