team_1,team_2,innings,over,ball,over_worm,batter,bowler,runs,wicket,score,wickets_lost,runs_to_win,target
Australia,India,1,0,1,0.16666666666666666,M Marsh,J Bumrah,0,,0,0,,
Australia,India,1,0,2,0.3333333333333333,M Marsh,J Bumrah,0,,0,0,,
Australia,India,1,0,3,0.5,M Marsh,J Bumrah,0,,0,0,,
Australia,India,1,0,4,0.6666666666666666,M Marsh,J Bumrah,0,,0,0,,
Australia,India,1,0,5,0.8333333333333334,M Marsh,J Bumrah,1,,1,0,,
Australia,India,1,0,6,1.0,D Warner,J Bumrah,1,,2,0,,
Australia,India,1,1,1,1.1666666666666667,D Warner,M Siraj,0,,2,0,,
Australia,India,1,1,2,1.3333333333333333,D Warner,M Siraj,4,,6,0,,
Australia,India,1,1,3,1.5,D Warner,M Siraj,0,,6,0,,
Australia,India,1,1,4,1.6666666666666665,D Warner,M Siraj,0,,6,0,,
Australia,India,1,1,5,1.8333333333333335,D Warner,M Siraj,0,,6,0,,
Australia,India,1,1,6,2.0,D Warner,M Siraj,0,,6,0,,
Australia,India,1,2,1,2.1666666666666665,M Marsh,J Bumrah,1,,7,0,,
Australia,India,1,2,2,2.3333333333333335,D Warner,J Bumrah,0,,7,0,,
Australia,India,1,2,3,2.5,D Warner,J Bumrah,0,,7,0,,
Australia,India,1,2,4,2.6666666666666665,D Warner,J Bumrah,2,,9,0,,
Australia,India,1,2,5,2.8333333333333335,D Warner,J Bumrah,1,,10,0,,
Australia,India,1,2,6,3.0,M Marsh,J Bumrah,4,,14,0,,
Australia,India,1,3,1,3.1666666666666665,D Warner,M Siraj,4,,18,0,,
Australia,India,1,3,2,3.3333333333333335,D Warner,M Siraj,0,,18,0,,
Australia,India,1,3,3,3.5,D Warner,M Siraj,4,,22,0,,
Australia,India,1,3,4,3.6666666666666665,D Warner,M Siraj,4,,26,0,,
Australia,India,1,3,5,3.8333333333333335,D Warner,M Siraj,0,,26,0,,
Australia,India,1,3,6,4.0,D Warner,M Siraj,4,,30,0,,
Australia,India,1,4,1,4.166666666666667,M Marsh,J Bumrah,0,,30,0,,
Australia,India,1,4,2,4.333333333333333,M Marsh,J Bumrah,0,,30,0,,
Australia,India,1,4,3,4.5,M Marsh,J Bumrah,0,caught,30,1,,
Australia,India,1,4,4,4.666666666666667,S Smith,J Bumrah,1,,31,1,,
Australia,India,1,4,5,4.833333333333333,D Warner,J Bumrah,0,,31,1,,
Australia,India,1,4,6,5.0,D Warner,J Bumrah,0,,31,1,,
Australia,India,1,5,1,5.166666666666667,S Smith,M Siraj,0,,31,1,,
Australia,India,1,5,2,5.333333333333333,S Smith,M Siraj,0,,31,1,,
Australia,India,1,5,3,5.5,S Smith,M Siraj,0,,31,1,,
Australia,India,1,5,4,5.666666666666667,S Smith,M Siraj,0,,31,1,,
Australia,India,1,5,5,5.833333333333333,S Smith,M Siraj,1,,32,1,,
Australia,India,1,5,6,6.0,D Warner,M Siraj,0,,32,1,,
Australia,India,1,6,1,6.166666666666667,S Smith,J Bumrah,1,,33,1,,
Australia,India,1,6,2,6.333333333333333,D Warner,J Bumrah,4,,37,1,,
Australia,India,1,6,3,6.5,D Warner,J Bumrah,0,,37,1,,
Australia,India,1,6,4,6.666666666666667,D Warner,J Bumrah,1,,38,1,,
Australia,India,1,6,5,6.833333333333333,S Smith,J Bumrah,1,,39,1,,
Australia,India,1,6,6,7.0,D Warner,J Bumrah,4,,43,1,,
Australia,India,1,7,1,7.166666666666667,S Smith,M Siraj,0,,43,1,,
Australia,India,1,7,2,7.333333333333333,S Smith,M Siraj,4,,47,1,,
Australia,India,1,7,3,7.5,S Smith,M Siraj,0,,47,1,,
Australia,India,1,7,4,7.666666666666667,S Smith,M Siraj,0,,47,1,,
Australia,India,1,7,5,7.833333333333333,S Smith,M Siraj,2,,49,1,,
Australia,India,1,7,6,8.0,S Smith,M Siraj,4,,53,1,,
Australia,India,1,8,1,8.166666666666666,D Warner,J Bumrah,2,,55,1,,
Australia,India,1,8,2,8.333333333333334,D Warner,J Bumrah,0,,55,1,,
Australia,India,1,8,3,8.5,D Warner,J Bumrah,0,,55,1,,
Australia,India,1,8,4,8.666666666666666,D Warner,J Bumrah,1,,56,1,,
Australia,India,1,8,5,8.833333333333334,S Smith,J Bumrah,0,,56,1,,
Australia,India,1,8,6,9.0,S Smith,J Bumrah,0,,56,1,,
Australia,India,1,9,1,9.166666666666666,D Warner,M Shami,4,,60,1,,
Australia,India,1,9,2,9.333333333333334,D Warner,M Shami,6,,66,1,,
Australia,India,1,9,3,9.5,D Warner,M Shami,4,,70,1,,
Australia,India,1,9,4,9.666666666666666,D Warner,M Shami,1,,71,1,,
Australia,India,1,9,5,9.833333333333334,S Smith,M Shami,0,,71,1,,
Australia,India,1,9,6,10.0,S Smith,M Shami,0,,71,1,,
Australia,India,1,10,1,10.166666666666666,D Warner,M Siraj,0,caught,71,2,,
Australia,India,1,10,2,10.333333333333334,M Labuschagne,M Siraj,0,,71,2,,
Australia,India,1,10,3,10.5,M Labuschagne,M Siraj,0,,71,2,,
Australia,India,1,10,4,10.666666666666666,M Labuschagne,M Siraj,1,,72,2,,
Australia,India,1,10,5,10.833333333333334,S Smith,M Siraj,0,,72,2,,
Australia,India,1,10,6,11.0,S Smith,M Siraj,2,,74,2,,
Australia,India,1,11,1,11.166666666666666,M Labuschagne,M Shami,0,,74,2,,
Australia,India,1,11,2,11.333333333333334,M Labuschagne,M Shami,0,,74,2,,
Australia,India,1,11,3,11.5,M Labuschagne,M Shami,0,,74,2,,
Australia,India,1,11,4,11.666666666666666,M Labuschagne,M Shami,0,caught,74,3,,
Australia,India,1,11,5,11.833333333333334,J Inglis,M Shami,0,,74,3,,
Australia,India,1,11,6,12.0,J Inglis,M Shami,1,,75,3,,
Australia,India,1,12,1,12.166666666666666,J Inglis,M Siraj,1,,76,3,,
Australia,India,1,12,2,12.333333333333334,S Smith,M Siraj,4,,80,3,,
Australia,India,1,12,3,12.5,S Smith,M Siraj,0,,80,3,,
Australia,India,1,12,4,12.666666666666666,S Smith,M Siraj,1,,81,3,,
Australia,India,1,12,5,12.833333333333334,J Inglis,M Siraj,1,,82,3,,
Australia,India,1,12,6,13.0,S Smith,M Siraj,0,,82,3,,
Australia,India,1,13,1,13.166666666666666,J Inglis,M Shami,2,,84,3,,
Australia,India,1,13,2,13.333333333333334,J Inglis,M Shami,0,,84,3,,
Australia,India,1,13,3,13.5,J Inglis,M Shami,2,,86,3,,
Australia,India,1,13,4,13.666666666666666,J Inglis,M Shami,1,,87,3,,
Australia,India,1,13,5,13.833333333333334,S Smith,M Shami,1,,88,3,,
Australia,India,1,13,6,14.0,J Inglis,M Shami,0,,88,3,,
Australia,India,1,14,1,14.166666666666666,S Smith,M Siraj,1,,89,3,,
Australia,India,1,14,2,14.333333333333334,J Inglis,M Siraj,6,,95,3,,
Australia,India,1,14,3,14.5,J Inglis,M Siraj,0,,95,3,,
Australia,India,1,14,4,14.666666666666666,J Inglis,M Siraj,0,,95,3,,
Australia,India,1,14,5,14.833333333333334,J Inglis,M Siraj,0,,95,3,,
Australia,India,1,14,6,15.0,J Inglis,M Siraj,1,,96,3,,
Australia,India,1,15,1,15.166666666666666,J Inglis,M Shami,1,,97,3,,
Australia,India,1,15,2,15.333333333333334,S Smith,M Shami,1,,98,3,,
Australia,India,1,15,3,15.5,J Inglis,M Shami,0,,98,3,,
Australia,India,1,15,4,15.666666666666666,J Inglis,M Shami,0,,98,3,,
Australia,India,1,15,5,15.833333333333334,J Inglis,M Shami,1,,99,3,,
Australia,India,1,15,6,16.0,S Smith,M Shami,1,,100,3,,
Australia,India,1,16,1,16.166666666666668,S Smith,K Yadav,1,,101,3,,
Australia,India,1,16,2,16.333333333333332,J Inglis,K Yadav,0,,101,3,,
Australia,India,1,16,3,16.5,J Inglis,K Yadav,4,,105,3,,
Australia,India,1,16,4,16.666666666666668,J Inglis,K Yadav,4,,109,3,,
Australia,India,1,16,5,16.833333333333332,J Inglis,K Yadav,0,,109,3,,
Australia,India,1,16,6,17.0,J Inglis,K Yadav,0,,109,3,,
Australia,India,1,17,1,17.166666666666668,S Smith,M Shami,1,,110,3,,
Australia,India,1,17,2,17.333333333333332,J Inglis,M Shami,4,,114,3,,
Australia,India,1,17,3,17.5,J Inglis,M Shami,1,,115,3,,
Australia,India,1,17,4,17.666666666666668,S Smith,M Shami,0,,115,3,,
Australia,India,1,17,5,17.833333333333332,S Smith,M Shami,1,,116,3,,
Australia,India,1,17,6,18.0,J Inglis,M Shami,0,,116,3,,
Australia,India,1,18,1,18.166666666666668,S Smith,K Yadav,0,,116,3,,
Australia,India,1,18,2,18.333333333333332,S Smith,K Yadav,0,,116,3,,
Australia,India,1,18,3,18.5,S Smith,K Yadav,2,,118,3,,
Australia,India,1,18,4,18.666666666666668,S Smith,K Yadav,6,,124,3,,
Australia,India,1,18,5,18.833333333333332,S Smith,K Yadav,0,,124,3,,
Australia,India,1,18,6,19.0,S Smith,K Yadav,0,,124,3,,
Australia,India,1,19,1,19.166666666666668,J Inglis,R Jadeja,3,,127,3,,
Australia,India,1,19,2,19.333333333333332,S Smith,R Jadeja,0,stumped,127,4,,
Australia,India,1,19,3,19.5,G Maxwell,R Jadeja,0,,127,4,,
Australia,India,1,19,4,19.666666666666668,G Maxwell,R Jadeja,1,,128,4,,
Australia,India,1,19,5,19.833333333333332,J Inglis,R Jadeja,1,,129,4,,
Australia,India,1,19,6,20.0,G Maxwell,R Jadeja,2,,131,4,,
Australia,India,1,20,1,20.166666666666668,J Inglis,M Siraj,1,,132,4,,
Australia,India,1,20,2,20.333333333333332,G Maxwell,M Siraj,0,caught,132,5,,
Australia,India,1,20,3,20.5,M Stoinis,M Siraj,0,,132,5,,
Australia,India,1,20,4,20.666666666666668,M Stoinis,M Siraj,2,,134,5,,
Australia,India,1,20,5,20.833333333333332,M Stoinis,M Siraj,1,,135,5,,
Australia,India,1,20,6,21.0,J Inglis,M Siraj,4,,139,5,,
Australia,India,1,21,1,21.166666666666668,M Stoinis,M Siraj,4,,143,5,,
Australia,India,1,21,2,21.333333333333332,M Stoinis,M Siraj,4,,147,5,,
Australia,India,1,21,3,21.5,M Stoinis,M Siraj,0,,147,5,,
Australia,India,1,21,4,21.666666666666668,M Stoinis,M Siraj,0,,147,5,,
Australia,India,1,21,5,21.833333333333332,M Stoinis,M Siraj,1,,148,5,,
Australia,India,1,21,6,22.0,J Inglis,M Siraj,0,,148,5,,
Australia,India,1,22,1,22.166666666666668,M Stoinis,M Siraj,0,caught,148,6,,
Australia,India,1,22,2,22.333333333333332,M Starc,M Siraj,1,,149,6,,
Australia,India,1,22,3,22.5,J Inglis,M Siraj,1,,150,6,,
Australia,India,1,22,4,22.666666666666668,M Starc,M Siraj,0,,150,6,,
Australia,India,1,22,5,22.833333333333332,M Starc,M Siraj,0,bowled,150,7,,
Australia,India,1,22,6,23.0,P Cummins,M Siraj,0,,150,7,,
Australia,India,1,23,1,23.166666666666668,J Inglis,J Bumrah,0,caught,150,8,,
Australia,India,1,23,2,23.333333333333332,A Zampa,J Bumrah,0,,150,8,,
Australia,India,1,23,3,23.5,A Zampa,J Bumrah,1,,151,8,,
Australia,India,1,23,4,23.666666666666668,P Cummins,J Bumrah,0,,151,8,,
Australia,India,1,23,5,23.833333333333332,P Cummins,J Bumrah,0,,151,8,,
Australia,India,1,23,6,24.0,P Cummins,J Bumrah,0,,151,8,,
Australia,India,1,24,1,24.166666666666668,A Zampa,J Bumrah,0,,151,8,,
Australia,India,1,24,2,24.333333333333332,A Zampa,J Bumrah,1,,152,8,,
Australia,India,1,24,3,24.5,P Cummins,J Bumrah,0,lbw,152,9,,
Australia,India,1,24,4,24.666666666666668,J Hazlewood,J Bumrah,1,,153,9,,
Australia,India,1,24,5,24.833333333333332,A Zampa,J Bumrah,1,,154,9,,
Australia,India,1,24,6,25.0,J Hazlewood,J Bumrah,4,,158,9,,
Australia,India,1,25,1,25.166666666666668,A Zampa,J Bumrah,2,,160,9,,
Australia,India,1,25,2,25.333333333333332,A Zampa,J Bumrah,4,,164,9,,
Australia,India,1,25,3,25.5,A Zampa,J Bumrah,0,,164,9,,
Australia,India,1,25,4,25.666666666666668,A Zampa,J Bumrah,0,,164,9,,
Australia,India,1,25,5,25.833333333333332,A Zampa,J Bumrah,1,,165,9,,
Australia,India,1,25,6,26.0,J Hazlewood,J Bumrah,0,,165,9,,
Australia,India,1,26,1,26.166666666666668,A Zampa,J Bumrah,1,,166,9,,
Australia,India,1,26,2,26.333333333333332,J Hazlewood,J Bumrah,4,,170,9,,
Australia,India,1,26,3,26.5,J Hazlewood,J Bumrah,1,,171,9,,
Australia,India,1,26,4,26.666666666666668,A Zampa,J Bumrah,0,,171,9,,
Australia,India,1,26,5,26.833333333333332,A Zampa,J Bumrah,0,,171,9,,
Australia,India,1,26,6,27.0,A Zampa,J Bumrah,1,,172,9,,
Australia,India,1,27,1,27.166666666666668,A Zampa,J Bumrah,1,,173,9,,
Australia,India,1,27,2,27.333333333333332,J Hazlewood,J Bumrah,0,caught,,,,
Australia,India,2,0,1,0.16666666666666666,R Sharma,M Starc,0,,0,0,174,174
Australia,India,2,0,2,0.3333333333333333,R Sharma,M Starc,0,,0,0,174,174
Australia,India,2,0,3,0.5,R Sharma,M Starc,1,,1,0,173,174
Australia,India,2,0,4,0.6666666666666666,S Gill,M Starc,0,,1,0,173,174
Australia,India,2,0,5,0.8333333333333334,S Gill,M Starc,1,,2,0,172,174
Australia,India,2,0,6,1.0,R Sharma,M Starc,0,,2,0,172,174
Australia,India,2,1,1,1.1666666666666667,S Gill,J Hazlewood,0,,2,0,172,174
Australia,India,2,1,2,1.3333333333333333,S Gill,J Hazlewood,1,,3,0,171,174
Australia,India,2,1,3,1.5,R Sharma,J Hazlewood,0,,3,0,171,174
Australia,India,2,1,4,1.6666666666666665,R Sharma,J Hazlewood,0,,3,0,171,174
Australia,India,2,1,5,1.8333333333333335,R Sharma,J Hazlewood,1,,4,0,170,174
Australia,India,2,1,6,2.0,S Gill,J Hazlewood,1,,5,0,169,174
Australia,India,2,2,1,2.1666666666666665,S Gill,M Starc,0,,5,0,169,174
Australia,India,2,2,2,2.3333333333333335,S Gill,M Starc,2,,7,0,167,174
Australia,India,2,2,3,2.5,S Gill,M Starc,2,,9,0,165,174
Australia,India,2,2,4,2.6666666666666665,S Gill,M Starc,0,,9,0,165,174
Australia,India,2,2,5,2.8333333333333335,S Gill,M Starc,0,,9,0,165,174
Australia,India,2,2,6,3.0,S Gill,M Starc,4,,13,0,161,174
Australia,India,2,3,1,3.1666666666666665,R Sharma,J Hazlewood,0,,13,0,161,174
Australia,India,2,3,2,3.3333333333333335,R Sharma,J Hazlewood,0,caught,13,1,161,174
Australia,India,2,3,3,3.5,V Kohli,J Hazlewood,0,,13,1,161,174
Australia,India,2,3,4,3.6666666666666665,V Kohli,J Hazlewood,0,,13,1,161,174
Australia,India,2,3,5,3.8333333333333335,V Kohli,J Hazlewood,0,,13,1,161,174
Australia,India,2,3,6,4.0,V Kohli,J Hazlewood,1,,14,1,160,174
Australia,India,2,4,1,4.166666666666667,V Kohli,M Starc,0,,14,1,160,174
Australia,India,2,4,2,4.333333333333333,V Kohli,M Starc,0,,14,1,160,174
Australia,India,2,4,3,4.5,V Kohli,M Starc,0,,14,1,160,174
Australia,India,2,4,4,4.666666666666667,V Kohli,M Starc,0,,14,1,160,174
Australia,India,2,4,5,4.833333333333333,V Kohli,M Starc,2,,16,1,158,174
Australia,India,2,4,6,5.0,V Kohli,M Starc,0,,16,1,158,174
Australia,India,2,5,1,5.166666666666667,S Gill,J Hazlewood,1,,17,1,157,174
Australia,India,2,5,2,5.333333333333333,V Kohli,J Hazlewood,1,,18,1,156,174
Australia,India,2,5,3,5.5,S Gill,J Hazlewood,2,,20,1,154,174
Australia,India,2,5,4,5.666666666666667,S Gill,J Hazlewood,0,,20,1,154,174
Australia,India,2,5,5,5.833333333333333,S Gill,J Hazlewood,4,,24,1,150,174
Australia,India,2,5,6,6.0,S Gill,J Hazlewood,1,,25,1,149,174
Australia,India,2,6,1,6.166666666666667,S Gill,P Cummins,4,,29,1,145,174
Australia,India,2,6,2,6.333333333333333,S Gill,P Cummins,0,,29,1,145,174
Australia,India,2,6,3,6.5,S Gill,P Cummins,6,,35,1,139,174
Australia,India,2,6,4,6.666666666666667,S Gill,P Cummins,0,,35,1,139,174
Australia,India,2,6,5,6.833333333333333,S Gill,P Cummins,1,,36,1,138,174
Australia,India,2,6,6,7.0,V Kohli,P Cummins,0,,36,1,138,174
Australia,India,2,7,1,7.166666666666667,S Gill,G Maxwell,1,,37,1,137,174
Australia,India,2,7,2,7.333333333333333,V Kohli,G Maxwell,0,,37,1,137,174
Australia,India,2,7,3,7.5,V Kohli,G Maxwell,2,,39,1,135,174
