team_1,team_2,innings,over,ball,over_worm,batter,bowler,runs,wicket,score,wickets_lost,runs_to_win,target
India,Australia,1,0,1,0.16666666666666666,R Sharma,M Starc,4,,4,0,,
India,Australia,1,0,2,0.3333333333333333,R Sharma,M Starc,0,,4,0,,
India,Australia,1,0,3,0.5,R Sharma,M Starc,2,,6,0,,
India,Australia,1,0,4,0.6666666666666666,R Sharma,M Starc,0,,6,0,,
India,Australia,1,0,5,0.8333333333333334,R Sharma,M Starc,0,,6,0,,
India,Australia,1,0,6,1.0,R Sharma,M Starc,0,,6,0,,
India,Australia,1,1,1,1.1666666666666667,S Gill,J Hazlewood,0,,6,0,,
India,Australia,1,1,2,1.3333333333333333,S Gill,J Hazlewood,4,,10,0,,
India,Australia,1,1,3,1.5,S Gill,J Hazlewood,0,,10,0,,
India,Australia,1,1,4,1.6666666666666665,S Gill,J Hazlewood,0,,10,0,,
India,Australia,1,1,5,1.8333333333333335,S Gill,J Hazlewood,0,,10,0,,
India,Australia,1,1,6,2.0,S Gill,J Hazlewood,0,,10,0,,
India,Australia,1,2,1,2.1666666666666665,R Sharma,M Starc,4,,14,0,,
India,Australia,1,2,2,2.3333333333333335,R Sharma,M Starc,0,,14,0,,
India,Australia,1,2,3,2.5,R Sharma,M Starc,0,,14,0,,
India,Australia,1,2,4,2.6666666666666665,R Sharma,M Starc,0,,14,0,,
India,Australia,1,2,5,2.8333333333333335,R Sharma,M Starc,0,,14,0,,
India,Australia,1,2,6,3.0,R Sharma,M Starc,0,,14,0,,
India,Australia,1,3,1,3.1666666666666665,S Gill,J Hazlewood,0,,14,0,,
India,Australia,1,3,2,3.3333333333333335,S Gill,J Hazlewood,0,,14,0,,
India,Australia,1,3,3,3.5,S Gill,J Hazlewood,0,,14,0,,
India,Australia,1,3,4,3.6666666666666665,S Gill,J Hazlewood,0,,14,0,,
India,Australia,1,3,5,3.8333333333333335,S Gill,J Hazlewood,0,,14,0,,
India,Australia,1,3,6,4.0,S Gill,J Hazlewood,0,,14,0,,
India,Australia,1,4,1,4.166666666666667,R Sharma,M Starc,0,,14,0,,
India,Australia,1,4,2,4.333333333333333,R Sharma,M Starc,0,,14,0,,
India,Australia,1,4,3,4.5,R Sharma,M Starc,4,,18,0,,
India,Australia,1,4,4,4.666666666666667,R Sharma,M Starc,0,lbw,18,1,,
India,Australia,1,4,5,4.833333333333333,V Kohli,M Starc,1,,19,1,,
India,Australia,1,4,6,5.0,S Gill,M Starc,1,,20,1,,
India,Australia,1,5,1,5.166666666666667,S Gill,J Hazlewood,0,,20,1,,
India,Australia,1,5,2,5.333333333333333,S Gill,J Hazlewood,0,,20,1,,
India,Australia,1,5,3,5.5,S Gill,J Hazlewood,0,,20,1,,
India,Australia,1,5,4,5.666666666666667,S Gill,J Hazlewood,0,,20,1,,
India,Australia,1,5,5,5.833333333333333,S Gill,J Hazlewood,4,,24,1,,
India,Australia,1,5,6,6.0,S Gill,J Hazlewood,4,,28,1,,
India,Australia,1,6,1,6.166666666666667,V Kohli,M Starc,1,,29,1,,
India,Australia,1,6,2,6.333333333333333,S Gill,M Starc,1,,30,1,,
India,Australia,1,6,3,6.5,V Kohli,M Starc,0,,30,1,,
India,Australia,1,6,4,6.666666666666667,V Kohli,M Starc,4,,34,1,,
India,Australia,1,6,5,6.833333333333333,V Kohli,M Starc,3,,37,1,,
India,Australia,1,6,6,7.0,S Gill,M Starc,0,,37,1,,
India,Australia,1,7,1,7.166666666666667,V Kohli,G Maxwell,0,,37,1,,
India,Australia,1,7,2,7.333333333333333,V Kohli,G Maxwell,0,,37,1,,
India,Australia,1,7,3,7.5,V Kohli,G Maxwell,4,,41,1,,
India,Australia,1,7,4,7.666666666666667,V Kohli,G Maxwell,1,,42,1,,
India,Australia,1,7,5,7.833333333333333,S Gill,G Maxwell,1,,43,1,,
India,Australia,1,7,6,8.0,V Kohli,G Maxwell,0,,43,1,,
India,Australia,1,8,1,8.166666666666666,S Gill,P Cummins,0,,43,1,,
India,Australia,1,8,2,8.333333333333334,S Gill,P Cummins,0,,43,1,,
India,Australia,1,8,3,8.5,S Gill,P Cummins,1,,44,1,,
India,Australia,1,8,4,8.666666666666666,V Kohli,P Cummins,1,,45,1,,
India,Australia,1,8,5,8.833333333333334,S Gill,P Cummins,0,,45,1,,
India,Australia,1,8,6,9.0,S Gill,P Cummins,0,,45,1,,
India,Australia,1,9,1,9.166666666666666,V Kohli,G Maxwell,0,,45,1,,
India,Australia,1,9,2,9.333333333333334,V Kohli,G Maxwell,0,,45,1,,
India,Australia,1,9,3,9.5,V Kohli,G Maxwell,1,,46,1,,
India,Australia,1,9,4,9.666666666666666,S Gill,G Maxwell,1,,47,1,,
India,Australia,1,9,5,9.833333333333334,V Kohli,G Maxwell,1,,48,1,,
India,Australia,1,9,6,10.0,S Gill,G Maxwell,4,,52,1,,
India,Australia,1,10,1,10.166666666666666,V Kohli,P Cummins,0,,52,1,,
India,Australia,1,10,2,10.333333333333334,V Kohli,P Cummins,1,,53,1,,
India,Australia,1,10,3,10.5,S Gill,P Cummins,0,,53,1,,
India,Australia,1,10,4,10.666666666666666,S Gill,P Cummins,0,bowled,53,2,,
India,Australia,1,10,5,10.833333333333334,S Iyer,P Cummins,1,,54,2,,
India,Australia,1,10,6,11.0,V Kohli,P Cummins,0,,54,2,,
India,Australia,1,11,1,11.166666666666666,S Iyer,A Zampa,0,,54,2,,
India,Australia,1,11,2,11.333333333333334,S Iyer,A Zampa,0,,54,2,,
India,Australia,1,11,3,11.5,S Iyer,A Zampa,1,,55,2,,
India,Australia,1,11,4,11.666666666666666,V Kohli,A Zampa,0,,55,2,,
India,Australia,1,11,5,11.833333333333334,V Kohli,A Zampa,0,,55,2,,
India,Australia,1,11,6,12.0,V Kohli,A Zampa,0,,55,2,,
India,Australia,1,12,1,12.166666666666666,S Iyer,P Cummins,0,,55,2,,
India,Australia,1,12,2,12.333333333333334,S Iyer,P Cummins,0,,55,2,,
India,Australia,1,12,3,12.5,S Iyer,P Cummins,0,,55,2,,
India,Australia,1,12,4,12.666666666666666,S Iyer,P Cummins,0,,55,2,,
India,Australia,1,12,5,12.833333333333334,S Iyer,P Cummins,4,,59,2,,
India,Australia,1,12,6,13.0,S Iyer,P Cummins,0,,59,2,,
India,Australia,1,13,1,13.166666666666666,V Kohli,A Zampa,2,,61,2,,
India,Australia,1,13,2,13.333333333333334,V Kohli,A Zampa,0,,61,2,,
India,Australia,1,13,3,13.5,V Kohli,A Zampa,0,,61,2,,
India,Australia,1,13,4,13.666666666666666,V Kohli,A Zampa,1,,62,2,,
India,Australia,1,13,5,13.833333333333334,S Iyer,A Zampa,1,,63,2,,
India,Australia,1,13,6,14.0,V Kohli,A Zampa,4,,67,2,,
India,Australia,1,14,1,14.166666666666666,S Iyer,P Cummins,0,,67,2,,
India,Australia,1,14,2,14.333333333333334,S Iyer,P Cummins,0,,67,2,,
India,Australia,1,14,3,14.5,S Iyer,P Cummins,1,,68,2,,
