team_1,team_2,innings,over,ball,over_worm,batter,bowler,runs,wicket,score,wickets_lost,runs_to_win,target
India,Australia,1,0,1,0.16666666666666666,R Sharma,M Starc,4,,4,0,,
India,Australia,1,0,2,0.3333333333333333,R Sharma,M Starc,0,,4,0,,
India,Australia,1,0,3,0.5,R Sharma,M Starc,0,,4,0,,
India,Australia,1,0,4,0.6666666666666666,R Sharma,M Starc,0,,4,0,,
India,Australia,1,0,5,0.8333333333333334,R Sharma,M Starc,4,,8,0,,
India,Australia,1,0,6,1.0,R Sharma,M Starc,0,,8,0,,
India,Australia,1,1,1,1.1666666666666667,S Gill,J Hazlewood,0,,8,0,,
India,Australia,1,1,2,1.3333333333333333,S Gill,J Hazlewood,0,,8,0,,
India,Australia,1,1,3,1.5,S Gill,J Hazlewood,4,,12,0,,
India,Australia,1,1,4,1.6666666666666665,S Gill,J Hazlewood,4,,16,0,,
India,Australia,1,1,5,1.8333333333333335,S Gill,J Hazlewood,0,,16,0,,
India,Australia,1,1,6,2.0,S Gill,J Hazlewood,0,,16,0,,
India,Australia,1,2,1,2.1666666666666665,R Sharma,M Starc,0,,16,0,,
India,Australia,1,2,2,2.3333333333333335,R Sharma,M Starc,1,,17,0,,
India,Australia,1,2,3,2.5,S Gill,M Starc,0,,17,0,,
India,Australia,1,2,4,2.6666666666666665,S Gill,M Starc,0,,17,0,,
India,Australia,1,2,5,2.8333333333333335,S Gill,M Starc,4,,21,0,,
India,Australia,1,2,6,3.0,S Gill,M Starc,4,,25,0,,
India,Australia,1,3,1,3.1666666666666665,R Sharma,J Hazlewood,0,,25,0,,
India,Australia,1,3,2,3.3333333333333335,R Sharma,J Hazlewood,0,,25,0,,
India,Australia,1,3,3,3.5,R Sharma,J Hazlewood,0,,25,0,,
India,Australia,1,3,4,3.6666666666666665,R Sharma,J Hazlewood,4,,29,0,,
India,Australia,1,3,5,3.8333333333333335,R Sharma,J Hazlewood,4,,33,0,,
India,Australia,1,3,6,4.0,R Sharma,J Hazlewood,1,,34,0,,
India,Australia,1,4,1,4.166666666666667,R Sharma,M Starc,0,,34,0,,
India,Australia,1,4,2,4.333333333333333,R Sharma,M Starc,0,,34,0,,
India,Australia,1,4,3,4.5,R Sharma,M Starc,0,,34,0,,
India,Australia,1,4,4,4.666666666666667,R Sharma,M Starc,0,,34,0,,
India,Australia,1,4,5,4.833333333333333,R Sharma,M Starc,0,,34,0,,
India,Australia,1,4,6,5.0,R Sharma,M Starc,0,,34,0,,
India,Australia,1,5,1,5.166666666666667,S Gill,J Hazlewood,0,,34,0,,
India,Australia,1,5,2,5.333333333333333,S Gill,J Hazlewood,4,,38,0,,
India,Australia,1,5,3,5.5,S Gill,J Hazlewood,1,,39,0,,
India,Australia,1,5,4,5.666666666666667,R Sharma,J Hazlewood,0,,39,0,,
India,Australia,1,5,5,5.833333333333333,R Sharma,J Hazlewood,1,,40,0,,
India,Australia,1,5,6,6.0,S Gill,J Hazlewood,0,,40,0,,
India,Australia,1,6,1,6.166666666666667,R Sharma,P Cummins,1,,41,0,,
India,Australia,1,6,2,6.333333333333333,S Gill,P Cummins,1,,42,0,,
India,Australia,1,6,3,6.5,R Sharma,P Cummins,0,,42,0,,
India,Australia,1,6,4,6.666666666666667,R Sharma,P Cummins,1,,43,0,,
India,Australia,1,6,5,6.833333333333333,S Gill,P Cummins,0,,43,0,,
India,Australia,1,6,6,7.0,S Gill,P Cummins,4,,47,0,,
India,Australia,1,7,1,7.166666666666667,R Sharma,G Maxwell,4,,51,0,,
India,Australia,1,7,2,7.333333333333333,R Sharma,G Maxwell,2,,53,0,,
India,Australia,1,7,3,7.5,R Sharma,G Maxwell,0,,53,0,,
India,Australia,1,7,4,7.666666666666667,R Sharma,G Maxwell,1,,54,0,,
India,Australia,1,7,5,7.833333333333333,S Gill,G Maxwell,0,caught,54,1,,
India,Australia,1,7,6,8.0,V Kohli,G Maxwell,1,,55,1,,
India,Australia,1,8,1,8.166666666666666,V Kohli,P Cummins,3,,58,1,,
India,Australia,1,8,2,8.333333333333334,R Sharma,P Cummins,1,,59,1,,
India,Australia,1,8,3,8.5,V Kohli,P Cummins,0,,59,1,,
India,Australia,1,8,4,8.666666666666666,V Kohli,P Cummins,4,,63,1,,
India,Australia,1,8,5,8.833333333333334,V Kohli,P Cummins,0,,63,1,,
India,Australia,1,8,6,9.0,V Kohli,P Cummins,2,,65,1,,
India,Australia,1,9,1,9.166666666666666,R Sharma,G Maxwell,4,,69,1,,
India,Australia,1,9,2,9.333333333333334,R Sharma,G Maxwell,4,,73,1,,
India,Australia,1,9,3,9.5,R Sharma,G Maxwell,0,,73,1,,
India,Australia,1,9,4,9.666666666666666,R Sharma,G Maxwell,1,,74,1,,
India,Australia,1,9,5,9.833333333333334,V Kohli,G Maxwell,1,,75,1,,
India,Australia,1,9,6,10.0,R Sharma,G Maxwell,1,,76,1,,
India,Australia,1,10,1,10.166666666666666,R Sharma,P Cummins,1,,77,1,,
India,Australia,1,10,2,10.333333333333334,V Kohli,P Cummins,1,,78,1,,
India,Australia,1,10,3,10.5,R Sharma,P Cummins,0,,78,1,,
India,Australia,1,10,4,10.666666666666666,R Sharma,P Cummins,1,,79,1,,
India,Australia,1,10,5,10.833333333333334,V Kohli,P Cummins,2,,81,1,,
India,Australia,1,10,6,11.0,V Kohli,P Cummins,1,,82,1,,
India,Australia,1,11,1,11.166666666666666,V Kohli,G Maxwell,0,,82,1,,
India,Australia,1,11,2,11.333333333333334,V Kohli,G Maxwell,0,,82,1,,
India,Australia,1,11,3,11.5,V Kohli,G Maxwell,0,,82,1,,
India,Australia,1,11,4,11.666666666666666,V Kohli,G Maxwell,0,,82,1,,
India,Australia,1,11,5,11.833333333333334,V Kohli,G Maxwell,1,,83,1,,
India,Australia,1,11,6,12.0,R Sharma,G Maxwell,1,,84,1,,
India,Australia,1,12,1,12.166666666666666,R Sharma,M Starc,0,,84,1,,
India,Australia,1,12,2,12.333333333333334,R Sharma,M Starc,1,,85,1,,
India,Australia,1,12,3,12.5,V Kohli,M Starc,1,,86,1,,
India,Australia,1,12,4,12.666666666666666,R Sharma,M Starc,1,,87,1,,
India,Australia,1,12,5,12.833333333333334,V Kohli,M Starc,0,,87,1,,
India,Australia,1,12,6,13.0,V Kohli,M Starc,1,,88,1,,
India,Australia,1,13,1,13.166666666666666,V Kohli,A Zampa,1,,89,1,,
India,Australia,1,13,2,13.333333333333334,R Sharma,A Zampa,0,,89,1,,
India,Australia,1,13,3,13.5,R Sharma,A Zampa,0,,89,1,,
India,Australia,1,13,4,13.666666666666666,R Sharma,A Zampa,2,,91,1,,
India,Australia,1,13,5,13.833333333333334,R Sharma,A Zampa,0,,91,1,,
India,Australia,1,13,6,14.0,R Sharma,A Zampa,1,,92,1,,
India,Australia,1,14,1,14.166666666666666,R Sharma,M Starc,0,,92,1,,
India,Australia,1,14,2,14.333333333333334,R Sharma,M Starc,0,caught,92,2,,
